phrase,cluster_label
commerce sector continues,0
computer agents,0
value chains,0
experiment neurophysiological measurements used investigate,0
agents affective processes,0
satisfaction willingness adopt ai,0
ai service passengers,0
partial squares approach study used,0
observation agents behavior,0
offers picture,0
adoption application ai advance b2b,0
linking individual strategic,0
aware stackelberg game approach designed,0
reinforcement learning irl algorithm applied,0
game model social potential field,0
cognitive models provide common,0
autonomous technology needs tended,0
francis group,0
rl agents pure text,0
test false beliefs sally,0
increase automation,0
relationships variables tested,0
hypotheses regarding direct indirect relationships,0
remotely controlled robotic arm,0
trading psychological,0
faults automation conditions,0
predict effects different automation,0
point actors business reverse engineering,0
human robot interaction,0
analysis reviews robot design features,0
provide recommendations including conceptual,0
avs able,0
assessment compliance avs,0
perform trade study,0
varying automation,0
fourth industrial revolution witnessing fast,0
social interactive agents concerns,0
jerome bruner studied socio,0
manipulators avs,0
innovativeness moderator performed,0
francis group,0
avs need understand related psychological,0
addition identify,0
affecting relationship,0
robot interaction hri apparent,0
human automation interaction inspired,0
metrics human robot,0
francis group,0
strategic options,0
research limitations implications review,0
shows adoption service robots negative,0
intelligence ai technology service industry,0
hypotheses tested,0
ai applications service,0
francis group,0
recommendations intelligent agent,0
important societal issues individual societal,0
perceived ease use,0
rationale recommendation conveyed,0
francis group,0
specifically deployment collaborative robots,0
tested using 536 responses individuals,0
recommendations digital,0
results indicate perceived convenience,0
traits designing manufacturing commercializing,0
models predict explain behavior terms,0
developing testing cognitive,0
models come instantiated brain article,0
systematically testing input output stimulus,0
2019 ifac,0
common assessments trust qualitative studies,0
information presentation,0
burgeoning field human machine communication,0
variables innovativeness,0
connected automated,0
convenience accessibility,0
increasingly mediated automated,0
caused wide range interdisciplinarity,0
info communication human computer,0
agents especially terms service quality,0
practical recommendations,0
lists option,0
changed game modern smart factories,0
agents assist,0
disengaged participants required adaptable automation,0
role determining adoption intention ai,0
automation led,0
urgently required establish design automation,0
robot designed provide hedonic,0
schema automation perfect automation schema,0
fit mediates,0
robots underlying psychological processes,0
participants collaborated automated agents varying,0
recommendation ai decision,0
designing automation mimic basic human,0
automation performance expectancy compared,0
offer explicit recommendations,0
automation conundrum,0
related human robot interaction hri,0
speech recognition,0
automated aids,0
different service agent types,0
online shopping assistance,0
practitioners exploring ways incorporate,0
websites display agent,0
shall suggest,0
advanced automation,0
disclosure affects user,0
agents perceived demonstrate,0
uncertainty robots perceived,0
including robots production,0
relations investigated,0
intelligences determine service,0
value systems view effects,0
usefulness factors,0
require humans loop,0
direct relationships,0
automation relevance knowledge task decrease,0
strategic element industries,0
